"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
200028236,200030484,Retail,3144,"Sep 1, 2014 1:28:34 AM",$99.99,$59.99,$40.00,$0.00,$0.00,2899511639480350Y,4.0000
200028237,200030485,Retail,,"Sep 1, 2014 1:46:51 AM",$74.99,$39.99,$35.00,$0.00,$0.00,32F30912JU646392X,2.0000
200028238,200030486,Retail,,"Sep 1, 2014 3:40:43 AM",$89.98,$49.98,$40.00,$0.00,$0.00,87M076933E517211X,4.0000
200028239,200030487,Retail,,"Sep 1, 2014 8:20:50 AM",$46.99,$39.99,$7.00,$0.00,$0.00,5MD26181NA799090D,2.0000
200028240,200030488,Retail,,"Sep 1, 2014 1:12:45 PM",$130.97,$119.97,$11.00,$0.00,$0.00,1UV90068DG843374P,12.0000
200028241,200030489,Retail,,"Sep 1, 2014 1:53:53 PM",$48.99,$39.99,$9.00,$0.00,$0.00,1VF051539V312530P,2.0000
200028242,200030490,Retail,,"Sep 1, 2014 5:15:11 PM",$46.99,$39.99,$7.00,$0.00,$0.00,3VN58984UH190353F,2.0000
200028243,200030491,Retail,,"Sep 1, 2014 6:02:57 PM",$92.98,$79.98,$13.00,$0.00,$0.00,3JY26778V0235054Y,8.0000
200028244,200030492,Retail,,"Sep 1, 2014 6:21:30 PM",$46.99,$39.99,$7.00,$0.00,$0.00,8S289610KG0046143,4.0000
200028245,200030493,Retail,,"Sep 1, 2014 6:41:29 PM",$59.99,$39.99,$20.00,$0.00,$0.00,7NT40141MT4420519,2.0000
200028246,200030494,Retail,,"Sep 1, 2014 7:04:31 PM",$46.99,$39.99,$7.00,$0.00,$0.00,4T3863779F199880F,4.0000
200028247,200030495,Retail,,"Sep 1, 2014 9:15:11 PM",$75.99,$39.99,$36.00,$0.00,$0.00,79X954266B1553205,2.0000
200028248,200030496,Retail,,"Sep 1, 2014 10:27:51 PM",$46.99,$39.99,$7.00,$0.00,$0.00,1GK39093G4771711W,2.0000
200028249,200030497,Retail,,"Sep 2, 2014 7:12:27 AM",$52.98,$49.98,$8.00,$0.00,$5.00,3TB37775YX546801S,3.0000
250005004,250005207,Wholesale,1115,"Sep 2, 2014 8:09:13 AM",$720.00,$720.00,$0.00,$0.00,$0.00,,36.0000
250005005,250005208,Wholesale,1115,"Sep 2, 2014 8:09:13 AM",$480.00,$480.00,$0.00,$0.00,$0.00,,24.0000
250005006,250005209,Wholesale,1115,"Sep 2, 2014 8:09:14 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250005007,250005210,Wholesale,1115,"Sep 2, 2014 8:17:24 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250005008,250005211,Wholesale,1115,"Sep 2, 2014 8:17:34 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
200028250,200030498,Retail,,"Sep 2, 2014 9:32:43 AM",$57.98,$49.98,$8.00,$0.00,$0.00,6T965849NE0727245,5.0000
250005009,250005212,Wholesale,773,"Sep 2, 2014 9:34:11 AM",$486.60,$480.00,$54.60,$0.00,$48.00,5WR358200F267104U,30.0000
250005010,250005161,Wholesale,2104,"Sep 2, 2014 10:25:37 AM",$361.60,$320.00,$41.60,$0.00,$0.00,,16.0000
250005011,250005213,Wholesale,1849,"Sep 2, 2014 10:30:58 AM","$1,680.00","$1,680.00",$0.00,$0.00,$0.00,,84.0000
250005012,250005214,Wholesale,1849,"Sep 2, 2014 10:30:59 AM","$3,654.00","$3,654.00",$0.00,$0.00,$0.00,,192.0000
250005013,250005216,Wholesale,2110,"Sep 2, 2014 10:56:49 AM",$178.20,$160.00,$18.20,$0.00,$0.00,3F141031HA258262G,10.0000
200028251,200030499,Retail,,"Sep 2, 2014 11:08:44 AM",$48.99,$39.99,$9.00,$0.00,$0.00,9VR37407CV012420S,2.0000
200028252,200030501,Retail,,"Sep 2, 2014 12:41:46 PM",$74.99,$39.99,$35.00,$0.00,$0.00,53263993Y1325693W,2.0000
250005014,250005217,Wholesale,4052,"Sep 2, 2014 12:42:39 PM",$89.10,$80.00,$9.10,$0.00,$0.00,7PC71850TX136244K,5.0000
200028253,200030502,Retail,,"Sep 2, 2014 12:43:22 PM",$59.99,$39.99,$20.00,$0.00,$0.00,0FU60111093860647,2.0000
200028254,200030504,Retail,,"Sep 2, 2014 1:55:36 PM",$57.98,$49.98,$8.00,$0.00,$0.00,2VD16135MN929414N,5.0000
250005015,250005218,Wholesale,1404,"Sep 2, 2014 2:25:54 PM",$238.70,$214.00,$24.70,$0.00,$0.00,0DN00886JJ944590P,23.0000
200028255,200030505,Retail,,"Sep 2, 2014 2:43:51 PM",$52.19,$39.99,$9.00,$3.20,$0.00,9MK99148JC4580011,2.0000
200028256,200030506,Retail,,"Sep 2, 2014 2:58:20 PM",$46.99,$39.99,$7.00,$0.00,$0.00,2J8575843C4066701,4.0000
200028257,200030507,Retail,,"Sep 2, 2014 4:00:31 PM",$46.99,$39.99,$7.00,$0.00,$0.00,1AG3300950058831B,4.0000
200028258,200030508,Retail,,"Sep 2, 2014 6:40:42 PM",$46.99,$39.99,$7.00,$0.00,$0.00,9GT50395K3155932S,4.0000
200028259,200030509,Retail,,"Sep 2, 2014 7:20:03 PM",$48.99,$39.99,$9.00,$0.00,$0.00,7T054959U4632541N,4.0000
200028260,200030510,Retail,,"Sep 2, 2014 10:44:46 PM",$74.99,$39.99,$35.00,$0.00,$0.00,0J722793P8776101M,3.0000
200028261,200030511,Retail,,"Sep 3, 2014 6:26:41 AM",$88.98,$79.98,$9.00,$0.00,$0.00,99884972KG004702P,4.0000
