"Invoice Number","Originating Order Number",Store,"Customer ID",Date,Name,SKU,QTY,Subtotal,Discount,Tax
200030899,200033415,Retail,,"Mar 1, 2015 4:21:15 AM","Blooming Bath Bathing Kit",BLOOMINGBATH-KIT,1.0000,$59.99,$0.00,$0.00
200030899,200033415,Retail,,"Mar 1, 2015 4:21:15 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030899,200033415,Retail,,"Mar 1, 2015 4:21:15 AM","Petals Baby Bath Washcloths - Turquoise - 3 Pack",PETAL-WASHCLOTHS-3PK-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200030899,200033415,Retail,,"Mar 1, 2015 4:21:15 AM","Burt's Bees Getting Started Kit",GETTING-STARTED-KIT,1.0000,$0.00,$0.00,$0.00
200030900,200033416,Retail,,"Mar 1, 2015 5:45:12 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200030900,200033416,Retail,,"Mar 1, 2015 5:45:12 AM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200030900,200033416,Retail,,"Mar 1, 2015 5:45:12 AM","Petals Baby Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-PINK,1.0000,$9.99,$0.00,$0.00
200030900,200033416,Retail,,"Mar 1, 2015 5:45:12 AM","Petals Baby Bath Washcloths - Hot Pink - 3 Pack",PETAL-WASHCLOTHS-3PK-PINK,1.0000,$0.00,$0.00,$0.00
200030901,200033418,Retail,,"Mar 1, 2015 6:05:21 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200030901,200033418,Retail,,"Mar 1, 2015 6:05:21 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200030902,200033419,Retail,,"Mar 1, 2015 6:32:23 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200030902,200033419,Retail,,"Mar 1, 2015 6:32:23 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200030903,200033420,Retail,,"Mar 1, 2015 7:33:13 AM","Blooming Bath Bathing Kit",BLOOMINGBATH-KIT,1.0000,$59.99,$0.00,$0.00
200030903,200033420,Retail,,"Mar 1, 2015 7:33:13 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030903,200033420,Retail,,"Mar 1, 2015 7:33:13 AM","Petals Baby Bath Washcloths - Hot Pink - 3 Pack",PETAL-WASHCLOTHS-3PK-PINK,1.0000,$0.00,$0.00,$0.00
200030903,200033420,Retail,,"Mar 1, 2015 7:33:13 AM","Burt's Bees Getting Started Kit",GETTING-STARTED-KIT,1.0000,$0.00,$0.00,$0.00
200030904,200033421,Retail,,"Mar 1, 2015 7:36:17 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$4.00,$0.00
200030904,200033421,Retail,,"Mar 1, 2015 7:36:17 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200030904,200033421,Retail,,"Mar 1, 2015 7:36:17 AM","Petals Baby Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$9.99,$1.00,$0.00
200030904,200033421,Retail,,"Mar 1, 2015 7:36:17 AM","Petals Baby Bath Washcloths - Canary Yellow - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$0.00,$0.00,$0.00
200030905,200033422,Retail,,"Mar 1, 2015 8:39:17 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200030905,200033422,Retail,,"Mar 1, 2015 8:39:17 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200030905,200033422,Retail,,"Mar 1, 2015 8:39:17 AM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200030906,200033423,Retail,,"Mar 1, 2015 8:44:09 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200030906,200033423,Retail,,"Mar 1, 2015 8:44:09 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200030907,200033424,Retail,,"Mar 1, 2015 9:06:23 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200030907,200033424,Retail,,"Mar 1, 2015 9:06:23 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200030907,200033424,Retail,,"Mar 1, 2015 9:06:23 AM","Mini Bloom Scrubbie - Canary Yellow",MINI-BLOOM-CANARY-YELLOW,1.0000,$9.99,$0.00,$0.00
200030907,200033424,Retail,,"Mar 1, 2015 9:06:23 AM","Petals Baby Bath Washcloths - Canary Yellow - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$9.99,$0.00,$0.00
