"Invoice Number","Originating Order Number",Store,"Customer ID",Date,Name,SKU,QTY,Subtotal,Discount,Tax
200029073,200031396,Retail,,"Nov 1, 2014 4:25:24 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,2.0000,$79.98,$0.00,$0.00
200029074,200031397,Retail,,"Nov 1, 2014 6:29:36 AM","Blooming Bath Bathing Kit",BLOOMINGBATH-KIT,1.0000,$59.99,$0.00,$0.00
200029075,200031398,Retail,,"Nov 1, 2014 6:34:34 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200029076,200031399,Retail,,"Nov 1, 2014 9:09:59 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200029077,200031400,Retail,,"Nov 1, 2014 9:26:18 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029078,200031401,Retail,,"Nov 1, 2014 11:43:02 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029079,200031402,Retail,,"Nov 1, 2014 2:04:24 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029080,200031405,Retail,,"Nov 1, 2014 8:10:34 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200029081,200031407,Retail,,"Nov 1, 2014 11:12:56 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029082,200031408,Retail,,"Nov 2, 2014 3:21:43 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029083,200031409,Retail,,"Nov 2, 2014 7:41:43 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200029084,200031410,Retail,,"Nov 2, 2014 8:05:19 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200029085,200031411,Retail,,"Nov 2, 2014 8:35:53 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029086,200031412,Retail,,"Nov 2, 2014 8:49:03 AM","Petals Baby Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$9.99,$0.00,$0.00
200029086,200031412,Retail,,"Nov 2, 2014 8:49:03 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200029087,200031413,Retail,,"Nov 2, 2014 1:09:27 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029088,200031416,Retail,,"Nov 2, 2014 6:14:07 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029089,200031417,Retail,,"Nov 2, 2014 7:34:22 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029090,200031418,Retail,4532,"Nov 2, 2014 10:39:13 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200029090,200031418,Retail,4532,"Nov 2, 2014 10:39:13 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029091,200031419,Retail,,"Nov 3, 2014 7:16:06 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029092,200031420,Retail,,"Nov 3, 2014 8:01:11 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
250005892,250006101,Wholesale,1115,"Nov 3, 2014 8:12:40 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,8.0000,$160.00,$0.00,$0.00
250005892,250006101,Wholesale,1115,"Nov 3, 2014 8:12:40 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,8.0000,$160.00,$0.00,$0.00
200029093,200031421,Retail,4533,"Nov 3, 2014 11:03:11 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$39.99,$39.99,$0.00
200029094,200031423,Retail,,"Nov 3, 2014 12:20:51 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029095,200031424,Retail,,"Nov 3, 2014 1:34:39 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029096,200031425,Retail,,"Nov 3, 2014 2:29:54 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200029096,200031425,Retail,,"Nov 3, 2014 2:29:54 PM","Mini Bloom Scrubbie",MINI-BLOOM-TURQUOISE,1.0000,$9.99,$0.00,$0.00
200029096,200031425,Retail,,"Nov 3, 2014 2:29:54 PM","Petals Baby Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-TURQUOISE,1.0000,$9.99,$0.00,$0.00
200029097,200031426,Retail,1453,"Nov 3, 2014 3:28:44 PM","Blooming Bath Baby Bath - Turquoise - Case (4 Pack)",BLOOMINGBATH-TURQUOISE-CASE,6.0000,$480.00,$0.00,$0.00
300000190,300000231,International,1715,"Nov 3, 2014 3:29:34 PM","Blooming Bath Baby Bath - Canary Yellow - CN",BLOOMINGBATH-YELLOW-CN,40.0000,$640.00,$0.00,$0.00
300000190,300000231,International,1715,"Nov 3, 2014 3:29:34 PM","Blooming Bath Baby Bath - Hot Pink - CN",BLOOMINGBATH-PINK-CN,28.0000,$448.00,$0.00,$0.00
300000190,300000231,International,1715,"Nov 3, 2014 3:29:34 PM","Blooming Bath Baby Bath - Green - CN",BLOOMINGBATH-GREEN-CN,20.0000,$320.00,$0.00,$0.00
300000190,300000231,International,1715,"Nov 3, 2014 3:29:34 PM","Blooming Bath Baby Bath - Turquoise - CN",BLOOMINGBATH-TURQUOISE-CN,40.0000,$640.00,$0.00,$0.00
200029098,200031427,Retail,,"Nov 3, 2014 3:56:23 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
250005893,250006102,Wholesale,3994,"Nov 3, 2014 4:40:16 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,16.0000,$320.00,$0.00,$0.00
250005894,250006103,Wholesale,3994,"Nov 3, 2014 4:40:21 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,16.0000,$320.00,$0.00,$0.00
