"Invoice Number","Originating Order Number",Store,"Customer ID",Date,Name,SKU,QTY,Subtotal,Discount,Tax
200025303,200027305,Retail,,"Mar 20, 2014 7:58:29 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200025303,200027305,Retail,,"Mar 20, 2014 7:58:29 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200025304,200027306,Retail,,"Mar 20, 2014 8:07:56 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200025304,200027306,Retail,,"Mar 20, 2014 8:07:56 AM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200025304,200027306,Retail,,"Mar 20, 2014 8:07:56 AM","Petals Baby Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$9.99,$0.00,$0.00
200025304,200027306,Retail,,"Mar 20, 2014 8:07:56 AM","Petals Baby Bath Washcloths - Canary Yellow - 3 Pack - Retail",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$0.00,$0.00,$0.00
250003960,250004142,Wholesale,1115,"Mar 20, 2014 8:32:05 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,4.0000,$80.00,$0.00,$0.00
250003961,250004143,Wholesale,1115,"Mar 20, 2014 8:36:22 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,72.0000,"$1,440.00",$0.00,$0.00
250003961,250004143,Wholesale,1115,"Mar 20, 2014 8:36:22 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,108.0000,"$2,160.00",$0.00,$0.00
250003961,250004143,Wholesale,1115,"Mar 20, 2014 8:36:22 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,116.0000,"$2,320.00",$0.00,$0.00
250003961,250004143,Wholesale,1115,"Mar 20, 2014 8:36:22 AM","Petals Washcloths - Hot Pink - Case (12 pack)",PETALS-HOT-PINK-CASE,2.0000,$108.00,$0.00,$0.00
250003961,250004143,Wholesale,1115,"Mar 20, 2014 8:36:22 AM","Petals Baby Bath Washcloths - Hot Pink - 3 Pack - Retail",PETAL-WASHCLOTHS-3PK-PINK,24.0000,$0.00,$0.00,$0.00
200025305,200027308,Retail,,"Mar 20, 2014 9:57:38 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200025305,200027308,Retail,,"Mar 20, 2014 9:57:38 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200025305,200027308,Retail,,"Mar 20, 2014 9:57:38 AM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200025306,200027307,Retail,,"Mar 20, 2014 10:38:31 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200025306,200027307,Retail,,"Mar 20, 2014 10:38:31 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200025307,200027310,Retail,3756,"Mar 20, 2014 10:49:38 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$39.99,$39.99,$0.00
200025307,200027310,Retail,3756,"Mar 20, 2014 10:49:38 AM","Petals Baby Bath Washcloths - Turquoise - 3 Pack - Retail",PETAL-WASHCLOTHS-3PK-TURQUOISE,1.0000,$9.99,$9.99,$0.00
200025307,200027310,Retail,3756,"Mar 20, 2014 10:49:38 AM","Mini Bloom Scrubbie - Hot Pink ",MINI-BLOOM-HOT-PINK,1.0000,$9.99,$9.99,$0.00
200025308,200027311,Retail,,"Mar 20, 2014 10:51:31 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200025308,200027311,Retail,,"Mar 20, 2014 10:51:31 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200025309,200027312,Retail,1453,"Mar 20, 2014 11:01:12 AM","Blooming Bath Baby Bath - Turquoise - Case (4 Pack)",BLOOMINGBATH-TURQUOISE-CASE,1.0000,$80.00,$0.00,$0.00
200025309,200027312,Retail,1453,"Mar 20, 2014 11:01:12 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,4.0000,$0.00,$0.00,$0.00
200025309,200027312,Retail,1453,"Mar 20, 2014 11:01:12 AM","Blooming Bath Baby Bath - Hot Pink - Case (4 Pack)",BLOOMINGBATH-PINK-CASE,2.0000,$160.00,$0.00,$0.00
200025309,200027312,Retail,1453,"Mar 20, 2014 11:01:12 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,8.0000,$0.00,$0.00,$0.00
200025309,200027312,Retail,1453,"Mar 20, 2014 11:01:12 AM","Blooming Bath Baby Bath - Yellow - Case (4 Pack)",BLOOMINGBATH-YELLOW-CASE,3.0000,$240.00,$0.00,$0.00
200025309,200027312,Retail,1453,"Mar 20, 2014 11:01:12 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,12.0000,$0.00,$0.00,$0.00
200025310,200027313,Retail,3757,"Mar 20, 2014 12:21:38 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$4.00,$0.00
200025310,200027313,Retail,3757,"Mar 20, 2014 12:21:38 PM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200025311,200027314,Retail,,"Mar 20, 2014 12:32:19 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$3.40
200025311,200027314,Retail,,"Mar 20, 2014 12:32:19 PM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200025312,200027315,Retail,,"Mar 20, 2014 12:44:06 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200025312,200027315,Retail,,"Mar 20, 2014 12:44:06 PM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200025313,200027316,Retail,,"Mar 20, 2014 12:49:27 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$3.40
200025313,200027316,Retail,,"Mar 20, 2014 12:49:27 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
250003962,250004144,Wholesale,1115,"Mar 20, 2014 1:49:19 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,4.0000,$80.00,$0.00,$0.00
250003963,250004146,Wholesale,3185,"Mar 20, 2014 3:42:27 PM","Blooming Bath Baby Bath - Canary Yellow - Case (4 Pack)",BLOOMINGBATH-YELLOW-CASE,2.0000,$160.00,$8.00,$0.00
250003963,250004146,Wholesale,3185,"Mar 20, 2014 3:42:27 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,8.0000,$0.00,$0.00,$0.00
250003963,250004146,Wholesale,3185,"Mar 20, 2014 3:42:27 PM","Blooming Bath Baby Bath - Hot Pink - Case (4 Pack)",BLOOMINGBATH-PINK-CASE,2.0000,$160.00,$8.00,$0.00
250003963,250004146,Wholesale,3185,"Mar 20, 2014 3:42:27 PM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,8.0000,$0.00,$0.00,$0.00
250003963,250004146,Wholesale,3185,"Mar 20, 2014 3:42:27 PM","Blooming Bath Baby Bath - Green - Case (4 Pack)",BLOOMINGBATH-GREEN-CASE,2.0000,$160.00,$8.00,$0.00
