"Invoice Number","Originating Order Number",Store,"Customer ID",Date,Name,SKU,QTY,Subtotal,Discount,Tax
200023087,200024902,Retail,,"Jan 1, 2014 6:59:43 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023087,200024902,Retail,,"Jan 1, 2014 6:59:43 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023088,200024903,Retail,,"Jan 1, 2014 7:08:24 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023088,200024903,Retail,,"Jan 1, 2014 7:08:24 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023089,200024904,Retail,,"Jan 1, 2014 7:37:20 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023089,200024904,Retail,,"Jan 1, 2014 7:37:20 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023090,200024905,Retail,,"Jan 1, 2014 7:42:16 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023090,200024905,Retail,,"Jan 1, 2014 7:42:16 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023091,200024906,Retail,,"Jan 1, 2014 10:13:04 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023091,200024906,Retail,,"Jan 1, 2014 10:13:04 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023092,200024907,Retail,,"Jan 1, 2014 2:21:21 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023092,200024907,Retail,,"Jan 1, 2014 2:21:21 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023093,200024908,Retail,,"Jan 1, 2014 2:58:30 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023093,200024908,Retail,,"Jan 1, 2014 2:58:30 PM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023094,200024909,Retail,,"Jan 1, 2014 3:39:33 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023094,200024909,Retail,,"Jan 1, 2014 3:39:33 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023095,200024910,Retail,,"Jan 1, 2014 4:09:57 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$3.40
200023095,200024910,Retail,,"Jan 1, 2014 4:09:57 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023096,200024911,Retail,,"Jan 1, 2014 4:11:30 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$6.00,$0.00
200023096,200024911,Retail,,"Jan 1, 2014 4:11:30 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Blooming Bath Bathing Kit",BLOOMINGBATH-KIT,1.0000,$69.99,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Petals Baby Bath Washcloths - Hot Pink - 3 Pack - Retail",PETAL-WASHCLOTHS-3PK-PINK,1.0000,$0.00,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Baby Bee Nourishing Lotion Fragrance Free 6 oz",BABY-BEE-NOURISHING-LOTION-6OZ,1.0000,$0.00,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Baby Bee Nourishing Baby Oil 4 oz",BABY-BEE-NOURISHING-BABY-OIL-3OZ,1.0000,$0.00,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Baby Bee Diaper Ointment 2 oz",BABY-BEE-DIAPER-OINTMENT-2OZ,1.0000,$0.00,$0.00,$0.00
200023097,200024912,Retail,,"Jan 1, 2014 5:15:11 PM","Baby Bee Shampoo and Wash Fragrance Free 8 oz ",BABY-BEE-SHAMPOO-WASH-FRAGRANCE-FREE-8OZ,1.0000,$0.00,$0.00,$0.00
200023098,200024913,Retail,,"Jan 1, 2014 6:07:56 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023098,200024913,Retail,,"Jan 1, 2014 6:07:56 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023098,200024913,Retail,,"Jan 1, 2014 6:07:56 PM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200023099,200024914,Retail,,"Jan 1, 2014 6:26:18 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023099,200024914,Retail,,"Jan 1, 2014 6:26:18 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023100,200024915,Retail,,"Jan 1, 2014 8:26:41 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023100,200024915,Retail,,"Jan 1, 2014 8:26:41 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023101,200024916,Retail,,"Jan 2, 2014 1:33:12 AM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200023102,200024917,Retail,,"Jan 2, 2014 1:41:49 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023102,200024917,Retail,,"Jan 2, 2014 1:41:49 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023103,200024919,Retail,,"Jan 2, 2014 5:14:44 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023103,200024919,Retail,,"Jan 2, 2014 5:14:44 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023104,200024920,Retail,,"Jan 2, 2014 6:12:29 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023104,200024920,Retail,,"Jan 2, 2014 6:12:29 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023105,200024921,Retail,,"Jan 2, 2014 8:11:40 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023105,200024921,Retail,,"Jan 2, 2014 8:11:40 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023106,200024922,Retail,,"Jan 2, 2014 8:23:36 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023106,200024922,Retail,,"Jan 2, 2014 8:23:36 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
250003514,250003679,Wholesale,1115,"Jan 2, 2014 9:06:33 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,4.0000,$80.00,$0.00,$0.00
250003514,250003679,Wholesale,1115,"Jan 2, 2014 9:06:33 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,4.0000,$80.00,$0.00,$0.00
250003514,250003679,Wholesale,1115,"Jan 2, 2014 9:06:33 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,4.0000,$80.00,$0.00,$0.00
200023107,200024924,Retail,3470,"Jan 2, 2014 9:22:04 AM","Blooming Bath Baby Bath - Ivory",BLOOMINGBATH-IVORY,1.0000,$39.99,$39.99,$0.00
200023108,200024925,Retail,,"Jan 2, 2014 9:27:52 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023108,200024925,Retail,,"Jan 2, 2014 9:27:52 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023109,200024926,Retail,,"Jan 2, 2014 10:14:13 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023109,200024926,Retail,,"Jan 2, 2014 10:14:13 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023110,200024927,Retail,,"Jan 2, 2014 11:31:12 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023110,200024927,Retail,,"Jan 2, 2014 11:31:12 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023111,200024928,Retail,,"Jan 2, 2014 11:51:25 AM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023111,200024928,Retail,,"Jan 2, 2014 11:51:25 AM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023112,200024929,Retail,,"Jan 2, 2014 12:06:54 PM","Blooming Bath Baby Bath",BLOOMINGBATH-IVORY,1.0000,$39.99,$0.00,$0.00
200023112,200024929,Retail,,"Jan 2, 2014 12:06:54 PM","Blooming Bath Baby Bath - Ivory",BLOOMINGBATH-IVORY,1.0000,$0.00,$0.00,$0.00
200023113,200024930,Retail,,"Jan 2, 2014 1:12:45 PM","Petals Baby Bath Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$9.99,$0.00,$0.00
200023113,200024930,Retail,,"Jan 2, 2014 1:12:45 PM","Petals Baby Bath Washcloths - Canary Yellow - 3 Pack - Retail",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$0.00,$0.00,$0.00
200023113,200024930,Retail,,"Jan 2, 2014 1:12:45 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200023113,200024930,Retail,,"Jan 2, 2014 1:12:45 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200023114,200024931,Retail,,"Jan 2, 2014 1:16:17 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200023114,200024931,Retail,,"Jan 2, 2014 1:16:17 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200023115,200024932,Retail,,"Jan 2, 2014 1:18:11 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200023115,200024932,Retail,,"Jan 2, 2014 1:18:11 PM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200023115,200024932,Retail,,"Jan 2, 2014 1:18:11 PM","Mini Bloom Scrubbie",MINI-BLOOM-HOT-PINK,1.0000,$9.99,$0.00,$0.00
200023115,200024932,Retail,,"Jan 2, 2014 1:18:11 PM","Mini Bloom Scrubbie - Hot Pink ",MINI-BLOOM-HOT-PINK,1.0000,$0.00,$0.00,$0.00
