"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
200029854,200032265,Retail,,"Jan 1, 2015 8:41:01 AM",$59.99,$39.99,$20.00,$0.00,$0.00,8CA958353L4877201,2.0000
200029855,200032266,Retail,,"Jan 1, 2015 10:27:16 AM",$48.99,$39.99,$9.00,$0.00,$0.00,2NW31192TA1633916,2.0000
200029856,200032267,Retail,,"Jan 1, 2015 3:29:08 PM",$59.99,$39.99,$20.00,$0.00,$0.00,081515012M249903R,2.0000
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM",$78.98,$69.98,$9.00,$0.00,$0.00,18M39145CN833640H,7.0000
200029858,200032270,Retail,,"Jan 1, 2015 6:47:32 PM",$46.99,$39.99,$7.00,$0.00,$0.00,4AT66561WD3081829,2.0000
200029859,200032271,Retail,4686,"Jan 1, 2015 8:26:07 PM",$24.99,$9.99,$15.00,$0.00,$0.00,9J3098997X262431C,2.0000
250006227,250006514,Wholesale,1115,"Jan 2, 2015 11:30:06 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
200029860,200032272,Retail,,"Jan 2, 2015 12:31:51 PM",$58.98,$49.98,$9.00,$0.00,$0.00,9E289522FU5794036,4.0000
200029861,200032273,Retail,,"Jan 2, 2015 1:05:56 PM",$42.99,$39.99,$7.00,$0.00,$4.00,4UB37958NL879542L,2.0000
200029862,200032274,Retail,,"Jan 2, 2015 1:06:15 PM",$66.97,$59.97,$7.00,$0.00,$0.00,54B4586520125563T,4.0000
250006228,250006541,Wholesale,2104,"Jan 2, 2015 2:02:22 PM",$361.60,$320.00,$41.60,$0.00,$0.00,,16.0000
200029863,200032275,Retail,,"Jan 2, 2015 2:24:11 PM",$48.99,$39.99,$9.00,$0.00,$0.00,3HT8714624492131M,3.0000
200029864,200032276,Retail,,"Jan 2, 2015 2:44:50 PM",$52.19,$39.99,$9.00,$3.20,$0.00,4JH08910EG6748738,3.0000
250006229,250006493,Wholesale,3994,"Jan 2, 2015 3:40:59 PM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006230,250006488,Wholesale,3994,"Jan 2, 2015 3:41:00 PM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006231,250006489,Wholesale,3994,"Jan 2, 2015 3:41:01 PM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006232,250006490,Wholesale,3994,"Jan 2, 2015 3:41:02 PM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006233,250006491,Wholesale,3994,"Jan 2, 2015 3:41:02 PM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006234,250006492,Wholesale,3994,"Jan 2, 2015 3:41:03 PM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006235,250006482,Wholesale,3994,"Jan 2, 2015 3:41:04 PM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006236,250006483,Wholesale,3994,"Jan 2, 2015 3:41:04 PM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006237,250006484,Wholesale,3994,"Jan 2, 2015 3:41:05 PM",$400.00,$400.00,$0.00,$0.00,$0.00,,20.0000
250006238,250006485,Wholesale,3994,"Jan 2, 2015 3:41:06 PM",$560.00,$560.00,$0.00,$0.00,$0.00,,28.0000
250006239,250006486,Wholesale,3994,"Jan 2, 2015 3:41:07 PM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006240,250006487,Wholesale,3994,"Jan 2, 2015 3:41:07 PM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006241,250006478,Wholesale,3994,"Jan 2, 2015 3:41:08 PM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006242,250006479,Wholesale,3994,"Jan 2, 2015 3:41:09 PM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006243,250006480,Wholesale,3994,"Jan 2, 2015 3:41:09 PM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
