"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
200029459,200031826,Retail,4612,"Dec 1, 2014 12:51:22 AM",$79.98,$79.98,$0.00,$0.00,$0.00,87K77724G4611683M,6.0000
200029460,200031827,Retail,,"Dec 1, 2014 6:26:57 AM",$79.98,$79.98,$0.00,$0.00,$0.00,4M297319L60613405,6.0000
200029461,200031828,Retail,,"Dec 1, 2014 6:31:52 AM",$39.99,$39.99,$0.00,$0.00,$0.00,7RT14316YT458081C,2.0000
250006062,250006318,Wholesale,1324,"Dec 1, 2014 6:36:28 AM",$536.00,$536.00,$0.00,$0.00,$0.00,403651545M964261B,35.0000
250006063,250006320,Wholesale,1476,"Dec 1, 2014 8:10:06 AM",$178.20,$160.00,$18.20,$0.00,$0.00,6XW27443KS214742Y,10.0000
250006064,250006306,Wholesale,3994,"Dec 1, 2014 8:26:45 AM",$640.00,$640.00,$0.00,$0.00,$0.00,,32.0000
250006065,250006307,Wholesale,3994,"Dec 1, 2014 8:26:46 AM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006066,250006308,Wholesale,3994,"Dec 1, 2014 8:26:47 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006067,250006309,Wholesale,3994,"Dec 1, 2014 8:26:48 AM",$480.00,$480.00,$0.00,$0.00,$0.00,,24.0000
250006068,250006303,Wholesale,3994,"Dec 1, 2014 8:26:48 AM",$400.00,$400.00,$0.00,$0.00,$0.00,,20.0000
250006069,250006304,Wholesale,3994,"Dec 1, 2014 8:26:49 AM",$800.00,$800.00,$0.00,$0.00,$0.00,,40.0000
250006070,250006305,Wholesale,3994,"Dec 1, 2014 8:26:50 AM","$2,960.00","$2,960.00",$0.00,$0.00,$0.00,,148.0000
250006071,250006300,Wholesale,3994,"Dec 1, 2014 8:26:50 AM",$800.00,$800.00,$0.00,$0.00,$0.00,,40.0000
250006072,250006301,Wholesale,3994,"Dec 1, 2014 8:26:51 AM",$640.00,$640.00,$0.00,$0.00,$0.00,,32.0000
250006073,250006302,Wholesale,3994,"Dec 1, 2014 8:26:52 AM","$1,360.00","$1,360.00",$0.00,$0.00,$0.00,,68.0000
250006074,250006296,Wholesale,3994,"Dec 1, 2014 8:26:52 AM",$400.00,$400.00,$0.00,$0.00,$0.00,,20.0000
250006075,250006297,Wholesale,3994,"Dec 1, 2014 8:26:53 AM","$1,040.00","$1,040.00",$0.00,$0.00,$0.00,,52.0000
250006076,250006298,Wholesale,3994,"Dec 1, 2014 8:26:54 AM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006077,250006299,Wholesale,3994,"Dec 1, 2014 8:26:54 AM",$800.00,$800.00,$0.00,$0.00,$0.00,,40.0000
250006078,250006292,Wholesale,3994,"Dec 1, 2014 8:26:55 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006079,250006293,Wholesale,3994,"Dec 1, 2014 8:26:56 AM",$560.00,$560.00,$0.00,$0.00,$0.00,,28.0000
250006080,250006294,Wholesale,3994,"Dec 1, 2014 8:26:56 AM","$1,120.00","$1,120.00",$0.00,$0.00,$0.00,,56.0000
250006081,250006295,Wholesale,3994,"Dec 1, 2014 8:26:57 AM",$720.00,$720.00,$0.00,$0.00,$0.00,,36.0000
250006082,250006288,Wholesale,3994,"Dec 1, 2014 8:26:58 AM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006083,250006289,Wholesale,3994,"Dec 1, 2014 8:26:58 AM",$800.00,$800.00,$0.00,$0.00,$0.00,,40.0000
250006084,250006290,Wholesale,3994,"Dec 1, 2014 8:26:59 AM",$560.00,$560.00,$0.00,$0.00,$0.00,,28.0000
250006085,250006291,Wholesale,3994,"Dec 1, 2014 8:27:00 AM",$640.00,$640.00,$0.00,$0.00,$0.00,,32.0000
250006086,250006278,Wholesale,3994,"Dec 1, 2014 8:27:00 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006087,250006279,Wholesale,3994,"Dec 1, 2014 8:27:01 AM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006088,250006280,Wholesale,3994,"Dec 1, 2014 8:27:02 AM",$560.00,$560.00,$0.00,$0.00,$0.00,,28.0000
250006089,250006281,Wholesale,3994,"Dec 1, 2014 8:27:03 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006090,250006274,Wholesale,3994,"Dec 1, 2014 8:27:03 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006091,250006275,Wholesale,3994,"Dec 1, 2014 8:27:04 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006092,250006276,Wholesale,3994,"Dec 1, 2014 8:27:05 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006093,250006277,Wholesale,3994,"Dec 1, 2014 8:27:05 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006094,250006269,Wholesale,3994,"Dec 1, 2014 8:27:06 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006095,250006270,Wholesale,3994,"Dec 1, 2014 8:27:07 AM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006096,250006271,Wholesale,3994,"Dec 1, 2014 8:27:07 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006097,250006272,Wholesale,3994,"Dec 1, 2014 8:27:08 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006098,250006273,Wholesale,3994,"Dec 1, 2014 8:27:09 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006099,250006266,Wholesale,3994,"Dec 1, 2014 8:27:10 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006100,250006267,Wholesale,3994,"Dec 1, 2014 8:27:10 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
250006101,250006268,Wholesale,3994,"Dec 1, 2014 8:27:11 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
200029462,200031829,Retail,,"Dec 1, 2014 8:46:38 AM",$39.99,$39.99,$0.00,$0.00,$0.00,44H02382918323154,2.0000
200029463,200031830,Retail,,"Dec 1, 2014 9:06:48 AM",$39.99,$39.99,$0.00,$0.00,$0.00,15961646188716714,3.0000
200029464,200031831,Retail,,"Dec 1, 2014 9:34:07 AM",$39.99,$39.99,$0.00,$0.00,$0.00,1GH94779XA8382009,2.0000
200029465,200031832,Retail,,"Dec 1, 2014 9:43:18 AM",$39.99,$39.99,$0.00,$0.00,$0.00,77S894817X573815H,3.0000
250006102,250006316,Wholesale,1838,"Dec 1, 2014 9:49:34 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
200029466,200031833,Retail,,"Dec 1, 2014 10:05:08 AM",$39.99,$39.99,$0.00,$0.00,$0.00,3XG42351FX358680F,3.0000
200029467,200031834,Retail,,"Dec 1, 2014 10:36:44 AM",$74.99,$39.99,$35.00,$0.00,$0.00,1R7220380X927223N,2.0000
200029468,200031835,Retail,,"Dec 1, 2014 10:52:47 AM",$39.99,$39.99,$0.00,$0.00,$0.00,5EW115807G2491605,2.0000
250006103,250006325,Wholesale,4501,"Dec 1, 2014 11:14:18 AM",$801.90,$720.00,$81.90,$0.00,$0.00,4B560582425119325,45.0000
200029469,200031836,Retail,,"Dec 1, 2014 11:21:39 AM",$39.99,$39.99,$0.00,$0.00,$0.00,6HV51725WE820621W,3.0000
200029470,200031837,Retail,,"Dec 1, 2014 11:52:01 AM",$39.99,$39.99,$0.00,$0.00,$0.00,9XC07168EL956970F,4.0000
200029471,200031838,Retail,,"Dec 1, 2014 12:14:25 PM",$39.99,$39.99,$0.00,$0.00,$0.00,3VJ09717H7454023K,3.0000
200029472,200031839,Retail,,"Dec 1, 2014 12:17:05 PM",$39.99,$39.99,$0.00,$0.00,$0.00,5E683764A91033635,2.0000
200029473,200031840,Retail,,"Dec 1, 2014 12:40:10 PM",$39.99,$39.99,$0.00,$0.00,$0.00,28A15416WK333223S,2.0000
200029474,200031841,Retail,,"Dec 1, 2014 12:45:41 PM",$39.99,$39.99,$0.00,$0.00,$0.00,77175689VW469605X,3.0000
200029475,200031842,Retail,,"Dec 1, 2014 12:48:46 PM",$39.99,$39.99,$0.00,$0.00,$0.00,4N07618531034202R,3.0000
200029476,200031843,Retail,,"Dec 1, 2014 1:04:30 PM",$79.98,$79.98,$0.00,$0.00,$0.00,5EJ94182PW4383133,5.0000
200029477,200031844,Retail,4614,"Dec 1, 2014 1:13:50 PM",$0.00,$39.99,$0.00,$0.00,$39.99,,1.0000
200029478,200031846,Retail,,"Dec 1, 2014 1:17:20 PM",$35.99,$39.99,$0.00,$0.00,$4.00,6VE37402887764455,2.0000
200029479,200031845,Retail,,"Dec 1, 2014 1:20:01 PM",$39.99,$39.99,$0.00,$0.00,$0.00,6M961921U04931515,3.0000
200029480,200031847,Retail,,"Dec 1, 2014 1:21:20 PM",$35.99,$39.99,$0.00,$0.00,$4.00,6LA670323L649142D,2.0000
200029481,200031848,Retail,,"Dec 1, 2014 3:50:17 PM",$64.79,$59.99,$0.00,$4.80,$0.00,3D60594646633261G,4.0000
200029482,200031849,Retail,2905,"Dec 1, 2014 4:03:49 PM",$39.99,$39.99,$0.00,$0.00,$0.00,7TH200202M232461Y,3.0000
200029483,200031850,Retail,,"Dec 1, 2014 4:46:14 PM",$69.98,$69.98,$0.00,$0.00,$0.00,94M13970D4100205J,6.0000
200029484,200031852,Retail,,"Dec 1, 2014 6:20:14 PM",$39.99,$39.99,$0.00,$0.00,$0.00,7FS494154B4609346,4.0000
200029485,200031853,Retail,,"Dec 1, 2014 6:32:01 PM",$39.99,$39.99,$0.00,$0.00,$0.00,0Y684663LW5520533,3.0000
200029486,200031854,Retail,,"Dec 1, 2014 6:47:37 PM",$39.99,$39.99,$0.00,$0.00,$0.00,1D085564P75504452,3.0000
200029487,200031855,Retail,,"Dec 1, 2014 7:04:41 PM",$35.99,$39.99,$0.00,$0.00,$4.00,8TU630128C164991J,2.0000
200029488,200031856,Retail,,"Dec 1, 2014 7:06:01 PM",$39.99,$39.99,$0.00,$0.00,$0.00,87U6861017498071H,2.0000
200029489,200031857,Retail,,"Dec 1, 2014 8:28:54 PM",$39.99,$39.99,$0.00,$0.00,$0.00,0UG24361TS810941M,3.0000
200029490,200031858,Retail,,"Dec 1, 2014 8:39:38 PM",$53.97,$59.97,$0.00,$0.00,$6.00,901156073Y246252D,6.0000
200029491,200031859,Retail,,"Dec 1, 2014 9:21:17 PM",$35.99,$39.99,$0.00,$0.00,$4.00,0CT55571JU540634S,3.0000
200029492,200031860,Retail,,"Dec 1, 2014 11:02:00 PM",$39.99,$39.99,$0.00,$0.00,$0.00,14W42309YE3136126,2.0000
200029493,200031861,Retail,,"Dec 2, 2014 6:18:36 AM",$35.99,$39.99,$0.00,$0.00,$4.00,6GA55387TL417574C,2.0000
200029494,200031862,Retail,,"Dec 2, 2014 6:44:09 AM",$39.99,$39.99,$0.00,$0.00,$0.00,7HU88284B99402735,3.0000
200029495,200031863,Retail,,"Dec 2, 2014 6:56:13 AM",$29.97,$29.97,$0.00,$0.00,$0.00,645249424U2002814,6.0000
200029496,200031865,Retail,,"Dec 2, 2014 7:50:13 AM",$338.94,$239.94,$99.00,$0.00,$0.00,1YT92354XB3303004,12.0000
200029497,200031866,Retail,,"Dec 2, 2014 7:52:41 AM",$49.98,$49.98,$0.00,$0.00,$0.00,53X34133ER873732D,4.0000
200029498,200031867,Retail,,"Dec 2, 2014 8:08:31 AM",$39.99,$39.99,$0.00,$0.00,$0.00,7N070679LS4193213,2.0000
250006104,250006324,Wholesale,1115,"Dec 2, 2014 8:43:15 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006105,250006323,Wholesale,1115,"Dec 2, 2014 8:43:16 AM",$320.00,$320.00,$0.00,$0.00,$0.00,,16.0000
250006106,250006321,Wholesale,1115,"Dec 2, 2014 8:43:17 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006107,250006322,Wholesale,1115,"Dec 2, 2014 8:43:17 AM",$240.00,$240.00,$0.00,$0.00,$0.00,,12.0000
200029499,200031868,Retail,,"Dec 2, 2014 10:33:35 AM",$39.99,$39.99,$0.00,$0.00,$0.00,33P808935N2994837,3.0000
200029500,200031869,Retail,,"Dec 2, 2014 10:40:55 AM",$43.19,$39.99,$0.00,$3.20,$0.00,7KR23174BK8064544,2.0000
200029501,200031870,Retail,,"Dec 2, 2014 10:50:29 AM",$43.19,$39.99,$0.00,$3.20,$0.00,7N136851V1215821A,2.0000
200029502,200031871,Retail,,"Dec 2, 2014 11:52:10 AM",$59.99,$59.99,$0.00,$0.00,$0.00,4HD501220V221164M,5.0000
200029503,200031872,Retail,,"Dec 2, 2014 1:27:52 PM",$39.99,$39.99,$0.00,$0.00,$0.00,2BK35211NA5286127,2.0000
200029504,200031874,Retail,,"Dec 2, 2014 5:50:44 PM",$39.99,$39.99,$0.00,$0.00,$0.00,6RL02754GN954142H,2.0000
200029505,200031875,Retail,,"Dec 2, 2014 7:31:40 PM",$8.99,$9.99,$0.00,$0.00,$1.00,9Y096734Y6792870P,2.0000
