"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
250006044,250006254,Wholesale,850,"Nov 18, 2014 8:25:04 AM",$960.00,$960.00,$0.00,$0.00,$0.00,,48.0000
250006043,250006253,Wholesale,850,"Nov 18, 2014 8:25:03 AM","$2,560.00","$2,560.00",$0.00,$0.00,$0.00,,128.0000
250006042,250006252,Wholesale,850,"Nov 18, 2014 8:25:03 AM","$1,440.00","$1,440.00",$0.00,$0.00,$0.00,,72.0000
250006041,250006251,Wholesale,850,"Nov 18, 2014 8:25:02 AM","$2,880.00","$2,880.00",$0.00,$0.00,$0.00,,144.0000
250006040,250006250,Wholesale,850,"Nov 18, 2014 8:25:02 AM","$1,440.00","$1,440.00",$0.00,$0.00,$0.00,,72.0000
250006039,250006249,Wholesale,850,"Nov 18, 2014 8:25:02 AM","$3,040.00","$3,040.00",$0.00,$0.00,$0.00,,152.0000
250005929,250006138,Wholesale,850,"Nov 6, 2014 11:13:09 AM","$6,000.00","$6,000.00",$0.00,$0.00,$0.00,,300.0000
250005925,250006134,Wholesale,850,"Nov 5, 2014 8:17:58 AM",$880.00,$880.00,$0.00,$0.00,$0.00,,44.0000
250005924,250006133,Wholesale,850,"Nov 5, 2014 8:17:55 AM","$1,360.00","$1,360.00",$0.00,$0.00,$0.00,,68.0000
250005923,250006132,Wholesale,850,"Nov 5, 2014 8:17:52 AM","$3,920.00","$3,920.00",$0.00,$0.00,$0.00,,196.0000
250005922,250006131,Wholesale,850,"Nov 5, 2014 8:17:47 AM",$800.00,$800.00,$0.00,$0.00,$0.00,,40.0000
250005833,250006040,Wholesale,850,"Oct 22, 2014 9:53:38 AM","$3,520.00","$3,520.00",$0.00,$0.00,$0.00,,176.0000
250005832,250006039,Wholesale,850,"Oct 22, 2014 9:53:38 AM","$5,360.00","$5,360.00",$0.00,$0.00,$0.00,,268.0000
250005831,250006038,Wholesale,850,"Oct 22, 2014 9:53:37 AM","$4,240.00","$4,240.00",$0.00,$0.00,$0.00,,212.0000
250005830,250006037,Wholesale,850,"Oct 22, 2014 9:53:37 AM","$3,760.00","$3,760.00",$0.00,$0.00,$0.00,,188.0000
250005829,250006036,Wholesale,850,"Oct 22, 2014 9:53:36 AM","$6,400.00","$6,400.00",$0.00,$0.00,$0.00,,320.0000
250005828,250006035,Wholesale,850,"Oct 22, 2014 9:53:35 AM","$8,800.00","$8,800.00",$0.00,$0.00,$0.00,,440.0000
250005827,250006034,Wholesale,850,"Oct 22, 2014 9:53:34 AM","$5,600.00","$5,600.00",$0.00,$0.00,$0.00,,280.0000
250005826,250006033,Wholesale,850,"Oct 22, 2014 9:53:34 AM","$3,840.00","$3,840.00",$0.00,$0.00,$0.00,,192.0000
250005825,250006032,Wholesale,850,"Oct 22, 2014 9:53:33 AM","$6,960.00","$6,960.00",$0.00,$0.00,$0.00,,348.0000
250005451,250005656,Wholesale,850,"Oct 9, 2014 1:56:03 PM","$2,400.00","$2,400.00",$0.00,$0.00,$0.00,,120.0000
250005450,250005655,Wholesale,850,"Oct 9, 2014 1:56:03 PM","$5,920.00","$5,920.00",$0.00,$0.00,$0.00,,296.0000
250005449,250005654,Wholesale,850,"Oct 9, 2014 1:56:03 PM","$2,480.00","$2,480.00",$0.00,$0.00,$0.00,,124.0000
