"Invoice Number","Originating Order Number",Store,"Customer ID",Date,Name,SKU,QTY,Subtotal,Discount,Tax
200030325,200032788,Retail,4775,"Feb 1, 2015 8:10:23 AM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200030325,200032788,Retail,4775,"Feb 1, 2015 8:10:23 AM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200030326,200032789,Retail,,"Feb 1, 2015 9:26:55 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200030326,200032789,Retail,,"Feb 1, 2015 9:26:55 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030327,200032790,Retail,,"Feb 1, 2015 9:29:12 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200030327,200032790,Retail,,"Feb 1, 2015 9:29:12 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030328,200032791,Retail,,"Feb 1, 2015 9:44:54 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200030328,200032791,Retail,,"Feb 1, 2015 9:44:54 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030329,200032792,Retail,,"Feb 1, 2015 10:21:57 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200030329,200032792,Retail,,"Feb 1, 2015 10:21:57 AM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200030329,200032792,Retail,,"Feb 1, 2015 10:21:57 AM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200030330,200032794,Retail,,"Feb 1, 2015 2:12:32 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200030330,200032794,Retail,,"Feb 1, 2015 2:12:32 PM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030330,200032794,Retail,,"Feb 1, 2015 2:12:32 PM","Petals Baby Washcloths - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$9.99,$0.00,$0.00
200030330,200032794,Retail,,"Feb 1, 2015 2:12:32 PM","Petals Baby Bath Washcloths - Canary Yellow - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$0.00,$0.00,$0.00
200030331,200032795,Retail,,"Feb 1, 2015 4:07:36 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200030331,200032795,Retail,,"Feb 1, 2015 4:07:36 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200030331,200032795,Retail,,"Feb 1, 2015 4:07:36 PM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200030332,200032796,Retail,,"Feb 1, 2015 5:21:34 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200030332,200032796,Retail,,"Feb 1, 2015 5:21:34 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200030332,200032796,Retail,,"Feb 1, 2015 5:21:34 PM","Mini Bloom Scrubbie",MINI-BLOOM-CANARY-YELLOW,1.0000,$9.99,$0.00,$0.00
200030332,200032796,Retail,,"Feb 1, 2015 5:21:34 PM","Mini Bloom Scrubbie - Canary Yellow",MINI-BLOOM-CANARY-YELLOW,1.0000,$0.00,$0.00,$0.00
200030333,200032797,Retail,,"Feb 1, 2015 6:44:45 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$0.00
200030333,200032797,Retail,,"Feb 1, 2015 6:44:45 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200030334,200032798,Retail,,"Feb 1, 2015 7:30:45 PM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200030334,200032798,Retail,,"Feb 1, 2015 7:30:45 PM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200030334,200032798,Retail,,"Feb 1, 2015 7:30:45 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200030334,200032798,Retail,,"Feb 1, 2015 7:30:45 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200030335,200032799,Retail,,"Feb 1, 2015 9:02:32 PM","Blooming Bath Baby Bath",BLOOMINGBATH-YELLOW,1.0000,$39.99,$0.00,$3.20
