"Invoice Number","Originating Order Number",Store,"Customer ID",Date,Name,SKU,QTY,Subtotal,Discount,Tax
200029854,200032265,Retail,,"Jan 1, 2015 8:41:01 AM","Blooming Bath Baby Bath",BLOOMINGBATH-PINK,1.0000,$39.99,$0.00,$0.00
200029854,200032265,Retail,,"Jan 1, 2015 8:41:01 AM","Blooming Bath Baby Bath - Hot Pink",BLOOMINGBATH-PINK,1.0000,$0.00,$0.00,$0.00
200029855,200032266,Retail,,"Jan 1, 2015 10:27:16 AM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029855,200032266,Retail,,"Jan 1, 2015 10:27:16 AM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200029856,200032267,Retail,,"Jan 1, 2015 3:29:08 PM","Blooming Bath Baby Bath",BLOOMINGBATH-TURQUOISE,1.0000,$39.99,$0.00,$0.00
200029856,200032267,Retail,,"Jan 1, 2015 3:29:08 PM","Blooming Bath Baby Bath - Turquoise",BLOOMINGBATH-TURQUOISE,1.0000,$0.00,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Mini Bloom Scrubbie",MINI-BLOOM-CANARY-YELLOW,1.0000,$9.99,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Mini Bloom Scrubbie - Canary Yellow",MINI-BLOOM-CANARY-YELLOW,1.0000,$0.00,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Blooming Bath Bathing Kit",BLOOMINGBATH-KIT,1.0000,$59.99,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Blooming Bath Baby Bath - Canary Yellow",BLOOMINGBATH-YELLOW,1.0000,$0.00,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Petals Baby Bath Washcloths - Canary Yellow - 3 Pack",PETAL-WASHCLOTHS-3PK-YELLOW,1.0000,$0.00,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Burt's Bees Getting Started Kit",GETTING-STARTED-KIT,1.0000,$0.00,$0.00,$0.00
200029857,200032269,Retail,,"Jan 1, 2015 5:21:08 PM","Send as Gift",GIFT,1.0000,$0.00,$0.00,$0.00
200029858,200032270,Retail,,"Jan 1, 2015 6:47:32 PM","Blooming Bath Baby Bath",BLOOMINGBATH-GREEN,1.0000,$39.99,$0.00,$0.00
200029858,200032270,Retail,,"Jan 1, 2015 6:47:32 PM","Blooming Bath Baby Bath - Green",BLOOMINGBATH-GREEN,1.0000,$0.00,$0.00,$0.00
200029859,200032271,Retail,4686,"Jan 1, 2015 8:26:07 PM","Mini Bloom Scrubbie",MINI-BLOOM-TURQUOISE,1.0000,$9.99,$0.00,$0.00
