"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
250005131,250005336,Wholesale,850,"Sep 16, 2014 9:09:57 AM","$8,640.00","$8,640.00",$0.00,$0.00,$0.00,,432.0000
250005096,250005299,Wholesale,850,"Sep 12, 2014 8:42:17 AM","$5,040.00","$5,040.00",$0.00,$0.00,$0.00,,252.0000
250005095,250005298,Wholesale,850,"Sep 12, 2014 8:42:17 AM","$9,840.00","$9,840.00",$0.00,$0.00,$0.00,,492.0000
250005094,250005297,Wholesale,850,"Sep 12, 2014 8:42:17 AM","$6,720.00","$6,720.00",$0.00,$0.00,$0.00,,336.0000
250005093,250005296,Wholesale,850,"Sep 12, 2014 8:42:17 AM","$13,600.00","$13,600.00",$0.00,$0.00,$0.00,,680.0000
250005092,250005295,Wholesale,850,"Sep 12, 2014 8:42:16 AM","$7,920.00","$7,920.00",$0.00,$0.00,$0.00,,396.0000
250005091,250005294,Wholesale,850,"Sep 12, 2014 8:42:16 AM","$4,640.00","$4,640.00",$0.00,$0.00,$0.00,,232.0000
250005090,250005293,Wholesale,850,"Sep 12, 2014 8:42:16 AM","$7,600.00","$7,600.00",$0.00,$0.00,$0.00,,380.0000
250005039,250005242,Wholesale,850,"Sep 8, 2014 3:15:08 PM","$11,600.00","$11,600.00",$0.00,$0.00,$0.00,,580.0000
250005038,250005241,Wholesale,850,"Sep 8, 2014 3:13:53 PM","$6,000.00","$6,000.00",$0.00,$0.00,$0.00,,300.0000
