"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
200030325,200032788,Retail,4775,"Feb 1, 2015 8:10:23 AM",$48.99,$39.99,$9.00,$0.00,$0.00,30074241WW669951S,2.0000
200030326,200032789,Retail,,"Feb 1, 2015 9:26:55 AM",$59.99,$39.99,$20.00,$0.00,$0.00,80F99078GV5053741,2.0000
200030327,200032790,Retail,,"Feb 1, 2015 9:29:12 AM",$46.99,$39.99,$7.00,$0.00,$0.00,0WU478630P125273A,2.0000
200030328,200032791,Retail,,"Feb 1, 2015 9:44:54 AM",$59.99,$39.99,$20.00,$0.00,$0.00,9G659101HE393825D,2.0000
200030329,200032792,Retail,,"Feb 1, 2015 10:21:57 AM",$48.99,$39.99,$9.00,$0.00,$0.00,225516754B566522F,3.0000
200030330,200032794,Retail,,"Feb 1, 2015 2:12:32 PM",$56.98,$49.98,$7.00,$0.00,$0.00,7U8083776G981225J,4.0000
200030331,200032795,Retail,,"Feb 1, 2015 4:07:36 PM",$46.99,$39.99,$7.00,$0.00,$0.00,3J812815DS0409525,3.0000
200030332,200032796,Retail,,"Feb 1, 2015 5:21:34 PM",$58.98,$49.98,$9.00,$0.00,$0.00,91F30974BU3712638,4.0000
200030333,200032797,Retail,,"Feb 1, 2015 6:44:45 PM",$46.99,$39.99,$7.00,$0.00,$0.00,1B8343672J803132K,2.0000
200030334,200032798,Retail,,"Feb 1, 2015 7:30:45 PM",$88.98,$79.98,$9.00,$0.00,$0.00,42V03524U3886282L,4.0000
200030335,200032799,Retail,,"Feb 1, 2015 9:02:32 PM",$71.77,$59.97,$7.00,$4.80,$0.00,93E933655K612635C,7.0000
200030336,200032800,Retail,,"Feb 1, 2015 10:06:58 PM",$42.99,$39.99,$7.00,$0.00,$4.00,0DB52514BV8048605,2.0000
200030337,200032801,Retail,4455,"Feb 2, 2015 5:45:09 AM",$48.99,$39.99,$9.00,$0.00,$0.00,4FK941282A687783K,2.0000
200030338,200032802,Retail,,"Feb 2, 2015 5:57:31 AM",$42.99,$39.99,$7.00,$0.00,$4.00,8ST56728U9437851V,2.0000
200030339,200032803,Retail,,"Feb 2, 2015 6:24:49 AM",$46.99,$39.99,$7.00,$0.00,$0.00,61C01868U1679030W,3.0000
200030340,200032804,Retail,,"Feb 2, 2015 7:42:30 AM",$116.98,$119.98,$9.00,$0.00,$12.00,74031646VN7203541,8.0000
200030341,200032805,Retail,,"Feb 2, 2015 8:53:58 AM",$46.99,$39.99,$7.00,$0.00,$0.00,4HM03176H64508346,3.0000
300000207,300000252,International,4467,"Feb 2, 2015 9:18:03 AM",$132.00,$72.00,$60.00,$0.00,$0.00,,4.0000
250006469,250006793,Wholesale,3658,"Feb 2, 2015 9:25:41 AM",$267.30,$240.00,$27.30,$0.00,$0.00,86F80561JY5915728,15.0000
250006470,250006794,Wholesale,1115,"Feb 2, 2015 9:29:20 AM",$80.00,$80.00,$0.00,$0.00,$0.00,,4.0000
250006471,250006786,Wholesale,1115,"Feb 2, 2015 9:55:20 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006472,250006784,Wholesale,1115,"Feb 2, 2015 9:55:21 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006473,250006785,Wholesale,1115,"Feb 2, 2015 9:55:22 AM",$400.00,$400.00,$0.00,$0.00,$0.00,,20.0000
250006474,250006783,Wholesale,1115,"Feb 2, 2015 9:55:23 AM",$160.00,$160.00,$0.00,$0.00,$0.00,,8.0000
250006475,250006788,Wholesale,2104,"Feb 2, 2015 10:06:58 AM",$361.60,$320.00,$41.60,$0.00,$0.00,,16.0000
200030342,200032806,Retail,4777,"Feb 2, 2015 11:12:44 AM",$0.00,$39.99,$0.00,$0.00,$39.99,,1.0000
200030343,200032807,Retail,1229,"Feb 2, 2015 11:22:15 AM",$0.00,$0.00,$0.00,$0.00,$0.00,,40.0000
200030344,200032808,Retail,,"Feb 2, 2015 11:49:48 AM",$46.99,$39.99,$7.00,$0.00,$0.00,6ML89116BY9752004,3.0000
