"Invoice Number","PO Number","Order Date","Order Total"
250006279,0030-2574256-3804,11-21-2014,320.0000
250006280,0030-2574256-3806,11-21-2014,560.0000
250006281,0030-2574256-3811,11-21-2014,80.0000
250006274,0030-2574256-0589,11-21-2014,240.0000
250006273,0030-2574256-0588,11-21-2014,160.0000
250006266,0030-2574256-0554,11-21-2014,160.0000
250006267,0030-2574256-0555,11-21-2014,240.0000
250006268,0030-2574256-0556,11-21-2014,80.0000
250006269,0030-2574256-0558,11-21-2014,240.0000
250006270,0030-2574256-0560,11-21-2014,320.0000
250006271,0030-2574256-0578,11-21-2014,160.0000
250006272,0030-2574256-0587,11-21-2014,160.0000
250006300,0030-6776028-0593,11-22-2014,800.0000
250006301,0030-6776028-0594,11-22-2014,640.0000
250006302,0030-6776028-3801,11-22-2014,1360.0000
250006303,0030-6776028-3802,11-22-2014,400.0000
250006304,0030-6776028-3803,11-22-2014,800.0000
250006305,0030-6776028-3804,11-22-2014,2960.0000
250006306,0030-6776028-3806,11-22-2014,640.0000
250006307,0030-6776028-3808,11-22-2014,320.0000
250006308,0030-6776028-3809,11-22-2014,80.0000
250006299,0030-6776028-0590,11-22-2014,800.0000
250006298,0030-6776028-0589,11-22-2014,320.0000
250006297,0030-6776028-0588,11-22-2014,1040.0000
250006288,0030-6776028-0551,11-22-2014,320.0000
250006289,0030-6776028-0553,11-22-2014,800.0000
250006290,0030-6776028-0554,11-22-2014,560.0000
250006291,0030-6776028-0555,11-22-2014,640.0000
250006292,0030-6776028-0556,11-22-2014,240.0000
250006293,0030-6776028-0557,11-22-2014,560.0000
250006294,0030-6776028-0558,11-22-2014,1120.0000
250006295,0030-6776028-0559,11-22-2014,720.0000
250006296,0030-6776028-0587,11-22-2014,400.0000
250006309,0030-6776028-3811,11-22-2014,480.0000
,,Total,99442
