"Email Collector Emails","Email Collector Emails"
"n/a","n/a"
"Date Collected","Date Collected"
"Customer ID","Customer ID"
"Customer Value","Customer Value"
"Coupon","Coupon"
"Record deleted","Record deleted"
"Nothing selected","Nothing selected"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Customers","Customers"
"E-mail Address","E-mail Address"
"Password","Password"
